"","tau","Model","Est","SE","AICc","GOF0","GOF5"
"250",7,"TwoMixedExp",1470.16567036721,NA,123.015955873232,1.417e-13,1.417e-13
"251",8,"TwoMixedExp",1433.72348207755,NA,126.128388399314,4.768e-13,4.768e-13
"252",9,"TwoMixedExp",1416.78382053026,NA,116.016948157719,8.396e-10,8.396e-10
"253",10,"TwoMixedExp",1387.14898688916,NA,131.533595760422,6.117e-13,6.117e-13
"254",11,"TwoMixedExp",1372.14905450504,NA,130.193803234572,3.843e-11,3.843e-11
"255",12,"TwoMixedExp",1355.77588871763,NA,136.000357206979,3.421e-11,5.074e-07
"256",13,"TwoMixedExp",1344.42477943412,35.1206740109451,138.019383911802,2.423e-10,5.268e-08
"257",14,"TwoMixedExp",1329.01261231743,31.0143014347655,161.931553442909,2.76e-16,5.284e-14
"258",15,"TwoMixedExp",1552.02315485668,138.229978613554,142.658382059632,8.745e-09,7.152e-08
"259",16,"TwoMixedExp",1545.74699540816,121.053296089187,143.29723769064,1.226e-07,7.721e-08
"260",17,"TwoMixedExp",1537.40962877138,103.732288284173,149.382338138873,1.061e-07,1.1e-07
"261",18,"TwoMixedExp",1536.44096359933,102.027557625008,147.477822022036,5.942e-07,3.264e-07
